Year,FIPSST,Medi_or_Behav_Treat%,Medi_Treat%,Behav_Treat%,Medi&Behav_Treat%
2018,9,82.6923076923077,61.53846153846154,51.92307692307693,30.76923076923077
2018,10,75.0,67.1875,42.1875,34.375
2018,11,68.29268292682927,46.34146341463415,53.65853658536586,31.70731707317073
2018,12,73.68421052631578,57.89473684210527,42.10526315789473,26.31578947368421
2018,13,76.05633802816901,61.97183098591549,39.436619718309856,25.352112676056336
2018,15,70.58823529411765,44.11764705882353,55.88235294117647,29.411764705882355
2018,16,63.04347826086957,56.52173913043478,39.130434782608695,32.608695652173914
2018,17,69.23076923076923,59.61538461538461,40.38461538461539,30.76923076923077
2018,18,73.52941176470588,66.17647058823529,38.23529411764706,30.88235294117647
2018,19,81.42857142857143,71.42857142857143,54.285714285714285,44.285714285714285
2018,20,77.14285714285715,61.42857142857143,47.14285714285714,31.428571428571427
2018,21,73.49397590361446,61.44578313253012,40.963855421686745,28.915662650602407
2018,22,79.81651376146789,74.31192660550458,29.357798165137616,23.853211009174313
2018,23,71.42857142857143,53.57142857142857,41.07142857142857,23.214285714285715
2018,24,77.19298245614034,66.66666666666666,49.122807017543856,38.59649122807017
2018,25,74.54545454545455,65.45454545454545,50.90909090909091,41.81818181818181
2018,26,62.06896551724138,50.0,41.37931034482759,29.310344827586203
2018,27,82.97872340425532,68.08510638297872,46.808510638297875,31.914893617021278
2018,28,84.70588235294117,74.11764705882354,42.35294117647059,31.76470588235294
2018,29,67.6923076923077,61.53846153846154,44.61538461538462,38.46153846153847
2018,30,82.5,70.0,57.49999999999999,45.0
2018,31,72.72727272727273,65.9090909090909,45.45454545454545,38.63636363636363
2018,32,50.0,34.090909090909086,36.36363636363637,20.454545454545457
2018,33,68.91891891891892,56.75675675675676,36.486486486486484,24.324324324324326
2018,34,66.66666666666666,56.41025641025641,46.15384615384615,35.8974358974359
2018,35,73.17073170731707,60.97560975609756,43.90243902439025,31.70731707317073
2018,36,58.139534883720934,39.53488372093023,37.2093023255814,18.6046511627907
2018,37,76.71232876712328,63.013698630136986,36.986301369863014,23.28767123287671
2018,38,74.0,60.0,40.0,26.0
2018,39,70.9090909090909,60.0,49.09090909090909,38.18181818181819
2018,40,67.21311475409836,47.540983606557376,42.62295081967213,22.950819672131146
2018,41,73.33333333333333,51.11111111111111,40.0,17.77777777777778
2018,42,74.07407407407408,55.55555555555556,53.70370370370371,35.18518518518518
2018,44,80.0,68.33333333333333,55.00000000000001,43.333333333333336
2018,45,72.72727272727273,62.121212121212125,37.878787878787875,27.27272727272727
2018,46,69.56521739130434,63.04347826086957,34.78260869565217,28.26086956521739
2018,47,75.38461538461539,63.07692307692307,36.92307692307693,24.615384615384617
2018,48,70.76923076923077,58.46153846153847,43.07692307692308,30.76923076923077
2018,49,75.92592592592592,68.51851851851852,42.592592592592595,35.18518518518518
2018,50,56.52173913043478,32.608695652173914,45.65217391304348,21.73913043478261
2018,51,81.25,68.75,45.3125,32.8125
2018,53,67.79661016949152,55.932203389830505,40.67796610169492,28.8135593220339
2018,54,75.32467532467533,62.33766233766234,50.649350649350644,37.66233766233766
2018,55,84.21052631578947,77.19298245614034,43.859649122807014,36.84210526315789
2018,56,71.7948717948718,48.717948717948715,43.58974358974359,20.51282051282051
2019,1,74.13793103448276,65.51724137931035,44.827586206896555,36.206896551724135
2019,2,69.38775510204081,46.93877551020408,51.02040816326531,28.57142857142857
2019,4,73.52941176470588,54.41176470588235,42.64705882352941,23.52941176470588
2019,5,69.1358024691358,56.79012345679012,37.03703703703704,24.691358024691358
2019,6,68.96551724137932,37.93103448275862,51.724137931034484,20.689655172413794
2019,8,70.73170731707317,41.46341463414634,56.09756097560976,26.82926829268293
2019,9,73.52941176470588,60.29411764705882,42.64705882352941,29.411764705882355
2019,10,85.91549295774648,70.4225352112676,50.70422535211267,35.2112676056338
2019,11,69.81132075471697,54.71698113207547,49.056603773584904,33.9622641509434
2019,12,74.57627118644068,64.40677966101694,42.3728813559322,32.20338983050847
2019,13,77.27272727272727,67.04545454545455,45.45454545454545,35.22727272727273
2019,15,70.96774193548387,41.935483870967744,61.29032258064516,32.25806451612903
